rank,service_number,first_name,last_name,date_of_award,country,aircraft_type,flight_hours,flight_missions,flight_awards
Sergeant,5859547,Kimberlyn,Vanyatin,4/4/2023,Portugal,F-22,8475,988,Distinguished Flying Cross
Colonel,9216234,Stearn,Radish,3/11/2023,Egypt,F-35,2731,296,Air Force Commendation Medal
Colonel,5087944,Gregg,Stonman,7/22/2022,China,F-35,6989,773,Air Medal
Lieutenant,4088220,Rainer,Boreham,8/27/2022,Portugal,F-22,1986,353,Air Force Achievement Medal
General,6754595,Lorelei,Hackinge,5/20/2022,Democratic Republic of the Congo,A-10,8394,774,Air Force Achievement Medal
Sergeant,6165754,Tanney,Holson,10/9/2022,Philippines,F-16,6233,790,Air Force Achievement Medal
Sergeant,1676704,Ted,Duckinfield,7/25/2022,Russia,F-22,5641,292,Air Medal
Colonel,9636652,Llewellyn,Higbin,11/8/2022,China,F-18,9315,727,Distinguished Flying Cross
Major,9700809,Chrisse,Pepperd,11/28/2022,Lithuania,F-16,4364,991,Air Medal
Private,7286879,Winslow,Pentecost,8/21/2022,Vietnam,F-35,3264,812,Air Force Commendation Medal
Major,6029002,Persis,Rapa,9/28/2022,Russia,A-10,5346,566,Air Force Commendation Medal
Major,5966140,Magdalene,Wabb,2/27/2023,Morocco,F-16,1198,928,Air Medal
General,7902173,Giffy,Peterffy,9/1/2022,Nigeria,A-10,1448,931,Air Force Achievement Medal
Captain,6109236,Geneva,Burman,11/25/2022,Indonesia,F-18,4575,818,Air Force Commendation Medal
Private,6968188,Denni,Fierro,3/13/2023,Saudi Arabia,F-35,1064,813,Distinguished Flying Cross
Corporal,1308903,Constantino,Maddern,7/9/2022,China,F-16,178,588,Distinguished Flying Cross
Sergeant,1455940,Haskel,Thornewell,4/6/2023,Bulgaria,F-16,7985,167,Air Force Commendation Medal
Sergeant,9626828,Penny,Brennen,5/18/2022,Argentina,F-18,642,704,Air Force Achievement Medal
Major,7388867,Norine,Caughtry,10/30/2022,Indonesia,F-22,977,626,Distinguished Flying Cross
Major,8827606,Grete,Champney,12/11/2022,Indonesia,F-18,233,954,Air Medal
General,4206105,Dorotea,Bleakman,1/3/2023,Macedonia,A-10,4159,280,Distinguished Flying Cross
Lieutenant,5964963,Griselda,Rosellini,10/27/2022,Poland,F-22,2143,775,Air Medal
General,7015883,Reed,Emanuel,7/16/2022,United States,F-22,3650,487,Air Force Commendation Medal
Colonel,5247571,Derry,Marchelli,2/21/2023,China,F-16,1052,996,Air Force Achievement Medal
Lieutenant,5305933,Jodie,Jervis,6/29/2022,Iran,F-16,8412,201,Air Medal
Captain,9950273,Nellie,Sissens,8/12/2022,France,F-35,5519,686,Air Force Achievement Medal
Corporal,8789247,Babette,Gillbard,2/11/2023,China,F-22,3420,59,Distinguished Flying Cross
Corporal,5964839,Symon,Vivians,3/30/2023,Philippines,F-18,1648,453,Air Force Commendation Medal
General,8971725,Adey,Peet,4/13/2022,Philippines,F-16,3191,269,Air Medal
Sergeant,1257800,Gannie,Glidden,3/13/2023,Thailand,F-18,4427,326,Air Force Commendation Medal
Private,5128713,Constancy,Gauchier,11/2/2022,Indonesia,F-16,5756,960,Air Medal
General,6489413,Raynell,Cockshoot,10/12/2022,Zambia,F-35,4481,726,Air Force Achievement Medal
Captain,1731240,Mildrid,Ravel,10/7/2022,China,F-22,6433,558,Air Medal
General,2998361,Tedi,Pendrigh,8/2/2022,China,F-16,7200,78,Air Medal
General,5915970,Harlen,Willcox,7/5/2022,Peru,A-10,7887,78,Air Medal
Major,5254919,Rockie,Baron,8/1/2022,China,A-10,6225,894,Air Medal
Lieutenant,6619714,Duffy,Rippingale,6/7/2022,Vietnam,F-22,5820,779,Distinguished Flying Cross
Major,1544318,Wendi,Snape,6/11/2022,China,A-10,9514,564,Distinguished Flying Cross
Private,4119053,Nichol,Brozek,11/30/2022,Russia,F-35,7787,382,Distinguished Flying Cross
Corporal,1863648,Dorri,Stillwell,10/27/2022,Sierra Leone,F-22,6947,271,Air Medal
Corporal,2344137,Walden,Rizzillo,3/30/2023,Belarus,F-22,6747,256,Air Force Commendation Medal
Colonel,1745494,Farrel,Hryniewicki,10/23/2022,Sweden,F-35,563,797,Air Medal
Sergeant,9920123,Nikita,Fasey,10/19/2022,Vietnam,F-22,6621,775,Air Force Commendation Medal
Corporal,2312254,Lara,Sahnow,11/14/2022,Indonesia,F-16,8325,645,Distinguished Flying Cross
Private,1455354,Kaitlin,Towndrow,8/8/2022,Australia,F-16,2144,55,Air Force Achievement Medal
Colonel,3837970,Amos,Trundle,12/1/2022,China,F-35,392,353,Air Force Commendation Medal
Major,1924396,Jacquenette,Marin,5/5/2022,South Korea,F-22,3880,371,Distinguished Flying Cross
Private,1990070,Portia,Kleinplac,10/30/2022,France,F-16,3664,991,Air Force Achievement Medal
Captain,9571458,Nappie,Trickett,7/24/2022,China,F-22,7273,294,Distinguished Flying Cross
Corporal,2275031,Scottie,Kobel,12/3/2022,China,F-18,227,306,Distinguished Flying Cross
General,5433928,Kirstyn,Dugood,12/30/2022,Bhutan,F-22,3261,494,Air Force Achievement Medal
Major,4459534,Duke,Dunphy,8/18/2022,Syria,F-18,8747,235,Air Medal
Major,3636787,Nil,Howard - Gater,7/6/2022,Canada,F-18,8842,672,Air Force Commendation Medal
Sergeant,8828210,Mel,Stallen,8/7/2022,Poland,A-10,7494,297,Air Force Achievement Medal
Lieutenant,1739719,Hettie,Swires,2/3/2023,Philippines,F-18,7830,101,Air Medal
Lieutenant,4847732,Toma,Reiners,8/17/2022,China,F-18,9356,974,Distinguished Flying Cross
Corporal,7518051,Wandis,Wesley,7/27/2022,Thailand,F-22,9640,625,Distinguished Flying Cross
Colonel,8469377,Massimiliano,Gravestone,5/21/2022,China,F-22,8744,222,Distinguished Flying Cross
Private,1706848,Conn,Churchard,7/8/2022,Vietnam,F-18,4896,731,Air Force Commendation Medal
Corporal,2453968,Roldan,Millar,12/24/2022,Poland,F-22,4028,327,Distinguished Flying Cross
Captain,4810957,Margalit,Hathwood,12/9/2022,Brazil,F-16,4328,881,Distinguished Flying Cross
General,9377532,Colver,Doerling,9/11/2022,Philippines,F-18,6688,169,Distinguished Flying Cross
Corporal,8538098,Barbe,Bloggett,2/3/2023,Thailand,F-35,4322,743,Air Force Commendation Medal
General,5069107,Tandy,Oatley,10/30/2022,South Korea,F-18,1341,437,Air Force Achievement Medal
Sergeant,2678745,Benjamin,Wyllis,7/3/2022,Argentina,F-18,2715,709,Air Medal
Corporal,2741660,Estele,Haccleton,8/2/2022,South Africa,F-22,4441,243,Air Force Achievement Medal
Major,4046236,Maybelle,Soane,12/21/2022,Russia,F-18,6738,371,Distinguished Flying Cross
Colonel,2105102,Jerrilee,Leakner,6/3/2022,Norway,F-16,5001,934,Air Medal
Major,8836761,Ericha,Isakson,6/1/2022,China,F-22,1647,186,Air Medal
Lieutenant,6188567,Wayne,Davidovitch,7/18/2022,Russia,F-22,3557,547,Distinguished Flying Cross
Colonel,6497517,Eb,Glidder,6/11/2022,Philippines,A-10,4544,784,Air Force Achievement Medal
Sergeant,2609110,Adrianne,Gislebert,4/8/2023,Indonesia,F-35,3269,906,Air Force Achievement Medal
Colonel,2972402,Granthem,Farrah,9/1/2022,Indonesia,F-35,4493,877,Air Force Achievement Medal
Colonel,9922649,Ara,Trundell,5/9/2022,Poland,F-22,7602,646,Distinguished Flying Cross
Colonel,1309953,Rhetta,Bremmell,5/12/2022,China,F-35,5674,68,Air Force Commendation Medal
Lieutenant,7419074,Bobinette,Dymond,10/21/2022,Thailand,F-18,1321,815,Air Force Achievement Medal
Sergeant,3615702,Emlynn,Warman,6/21/2022,Philippines,F-18,9491,119,Air Force Achievement Medal
Corporal,8693824,Winfield,Karsh,5/22/2022,Indonesia,F-35,7315,842,Air Medal
Private,9908924,Boothe,Batty,7/28/2022,Poland,F-22,1127,263,Air Force Achievement Medal
Captain,8408460,Merilyn,Ouldcott,7/26/2022,New Zealand,F-18,444,540,Air Force Commendation Medal
Captain,3723709,Orsola,Maycock,9/2/2022,Vietnam,F-16,247,85,Air Force Achievement Medal
General,8487771,Raynard,MacCartney,12/20/2022,China,F-35,5630,894,Air Medal
Major,4713471,Keeley,Ironmonger,3/7/2023,Poland,F-35,9279,765,Air Force Commendation Medal
Corporal,2767695,Livy,Sousa,3/7/2023,China,F-22,904,704,Air Medal
Corporal,9317343,Evey,Darbey,7/3/2022,Indonesia,F-16,3421,345,Air Force Commendation Medal
Sergeant,5283621,Bill,Dunkerly,3/21/2023,China,F-16,5537,387,Air Medal
Colonel,2256946,Caitrin,Brambley,9/2/2022,Brazil,A-10,1368,562,Air Medal
Lieutenant,7456804,Dugald,Abelov,7/25/2022,China,F-18,7503,138,Air Force Commendation Medal
Corporal,2785052,Chicky,Jagiela,11/29/2022,China,F-16,7585,911,Distinguished Flying Cross
Sergeant,7604960,Adora,Ivie,9/12/2022,Philippines,A-10,7559,366,Distinguished Flying Cross
Colonel,5357706,Delilah,Boles,2/26/2023,Mexico,F-22,5493,165,Air Force Achievement Medal
Major,4610351,Jen,Mattingly,10/12/2022,Poland,F-35,728,390,Air Medal
Sergeant,1303554,James,Orth,12/22/2022,Sweden,F-22,4255,604,Air Force Commendation Medal
General,5615829,Felix,Note,4/8/2023,South Africa,F-18,2890,232,Air Medal
Sergeant,4056372,Melisent,Dumingos,6/2/2022,Indonesia,F-22,265,202,Air Force Achievement Medal
Lieutenant,9966423,Paquito,Baggalley,3/10/2023,Colombia,F-22,7453,854,Distinguished Flying Cross
Lieutenant,8780092,Cedric,Kelson,3/8/2023,Bosnia and Herzegovina,A-10,4719,865,Distinguished Flying Cross
Lieutenant,7892710,Bonnie,Trusler,11/8/2022,Poland,F-22,7996,19,Air Force Commendation Medal
Lieutenant,4865680,Stu,Nayer,4/3/2023,Indonesia,F-16,590,57,Air Force Achievement Medal
Lieutenant,4663170,Fredra,Fairlaw,9/7/2022,Japan,F-18,6343,294,Air Force Commendation Medal
Private,5402113,Susana,Korneichik,6/21/2022,Mauritius,F-22,9143,293,Distinguished Flying Cross
Private,7314265,Geoffrey,Childes,9/11/2022,South Africa,A-10,2382,613,Air Medal
Sergeant,3761138,Hastie,Scroggins,3/26/2023,Indonesia,F-16,2154,960,Air Force Commendation Medal
Captain,5639735,Gauthier,Lawrie,9/6/2022,Indonesia,F-18,3390,80,Air Medal
Corporal,8907982,Ashlie,Ackrill,11/6/2022,Indonesia,F-18,6679,970,Air Force Achievement Medal
Sergeant,3493607,Claresta,Gaynes,5/9/2022,Jamaica,F-18,8196,898,Air Force Commendation Medal
General,6288246,Etti,de Keyser,10/16/2022,Russia,F-22,9727,734,Air Medal
General,8237769,Shandie,Risby,11/1/2022,Indonesia,F-22,5870,931,Air Medal
Sergeant,2789268,Candra,Everleigh,11/24/2022,Myanmar,F-18,9898,147,Distinguished Flying Cross
Colonel,9454335,Tony,Cordelette,6/15/2022,Argentina,A-10,8734,514,Distinguished Flying Cross
Major,3323077,Joaquin,Raymen,11/24/2022,Indonesia,F-16,4821,338,Air Medal
Corporal,9265881,Joaquin,Pina,9/19/2022,Zambia,F-18,5076,672,Air Force Achievement Medal
Lieutenant,8546242,Forester,McGuiness,6/30/2022,China,F-16,8144,171,Air Medal
Sergeant,6705405,Stacia,Stockbridge,7/19/2022,Italy,F-22,134,124,Air Force Commendation Medal
Corporal,2669828,Vick,Truckett,5/28/2022,Mexico,A-10,6514,26,Air Force Commendation Medal
General,5919839,Aurora,Gumley,1/14/2023,Canada,A-10,7918,569,Air Medal
Sergeant,7297793,Amii,Ilyukhov,11/21/2022,Argentina,F-35,7308,212,Distinguished Flying Cross
Captain,3198682,Casper,Itzkov,1/19/2023,Cuba,F-22,7186,893,Distinguished Flying Cross
Major,5397834,Stacie,Lazarus,8/28/2022,China,F-35,8220,85,Air Force Achievement Medal
Lieutenant,8552695,Wainwright,Gurg,1/26/2023,Ukraine,F-35,6847,397,Air Medal
Captain,9981021,Glyn,Catley,4/24/2022,Brazil,F-22,7831,816,Distinguished Flying Cross
Private,2246462,Donn,Blasio,12/8/2022,Japan,F-18,8526,799,Air Force Achievement Medal
Major,4307982,Cleopatra,Cuniffe,4/30/2022,Madagascar,F-16,1735,364,Air Force Commendation Medal
Sergeant,9123677,Chrysa,Garnsey,3/1/2023,Mexico,F-35,7609,594,Distinguished Flying Cross
Corporal,1887791,Terry,Kirkpatrick,4/7/2023,Russia,F-18,4666,626,Distinguished Flying Cross
Major,6152121,Joleen,Valentinuzzi,7/25/2022,Guatemala,A-10,4560,159,Air Force Achievement Medal
Corporal,4354109,Pearce,Stickins,7/30/2022,Greece,F-18,4677,554,Air Force Commendation Medal
Lieutenant,4376663,Rickert,Kinforth,12/19/2022,Paraguay,A-10,3624,267,Air Medal
Sergeant,3065848,Nickey,Trevan,12/12/2022,Cuba,F-18,4914,513,Distinguished Flying Cross
Colonel,2747925,Gabrila,Margery,3/17/2023,Finland,F-22,8477,656,Air Force Commendation Medal
Colonel,5441189,Charo,Ghidoli,10/25/2022,Portugal,F-22,8442,998,Air Force Commendation Medal
Private,7725022,Royce,Bruyet,6/20/2022,China,A-10,2150,931,Air Force Commendation Medal
Private,3752868,Evangelia,Barth,11/29/2022,Indonesia,F-22,3665,269,Air Medal
General,8801360,Pippo,Huband,5/2/2022,Ukraine,F-16,2036,878,Air Medal
Corporal,7054023,Randy,Pelos,11/7/2022,Vietnam,F-18,7728,564,Distinguished Flying Cross
Major,6520570,Inger,Clayal,8/25/2022,Poland,F-16,5704,72,Air Force Achievement Medal
Private,2827608,Marylee,Stait,10/5/2022,Ukraine,F-22,3052,524,Air Medal
Captain,7119699,Vickie,Robiou,11/6/2022,Indonesia,F-35,5308,259,Distinguished Flying Cross
Sergeant,4151261,Perren,Genever,7/15/2022,Indonesia,F-22,3203,108,Air Force Achievement Medal
Major,1722942,Lila,Tinsey,7/21/2022,China,A-10,7005,569,Distinguished Flying Cross
Corporal,7276506,Brigida,Kelsall,5/29/2022,Honduras,F-18,6874,401,Distinguished Flying Cross
General,5558892,Berke,Scay,5/18/2022,Indonesia,F-16,3585,435,Distinguished Flying Cross
Corporal,1726235,Philbert,Snelgar,1/22/2023,Philippines,A-10,2182,266,Air Force Commendation Medal
General,5975672,Pierrette,Uman,9/18/2022,China,F-18,5771,574,Air Medal
Sergeant,8872958,Erina,Hagan,4/5/2023,Canada,F-16,8430,238,Air Force Commendation Medal
Corporal,5178683,Vincenty,Towns,12/26/2022,Democratic Republic of the Congo,F-35,2232,685,Distinguished Flying Cross
Private,4208806,Eveline,Cuthbert,7/26/2022,China,F-22,3387,997,Air Medal
Major,4184814,Corene,Glowach,1/6/2023,Philippines,A-10,30,670,Distinguished Flying Cross
Corporal,6896681,Menard,Kneeshaw,3/4/2023,South Africa,F-35,7444,244,Air Force Commendation Medal
Corporal,1906260,Tristam,Fippe,7/16/2022,United States,F-18,7178,681,Air Force Achievement Medal
Corporal,7372969,Hubie,Grigoriev,9/20/2022,Sweden,F-35,2176,184,Distinguished Flying Cross
Colonel,5478213,Garnet,Millward,8/20/2022,Russia,F-16,6744,288,Air Force Commendation Medal
Colonel,9523870,Ravid,Cardo,11/18/2022,China,A-10,686,776,Air Medal
Lieutenant,8477392,Ursulina,Ellaway,10/14/2022,Ivory Coast,F-18,7470,860,Distinguished Flying Cross
Corporal,7278176,Lorenza,Muncie,10/13/2022,China,F-16,970,231,Air Medal
Lieutenant,6665598,Wald,Bohler,12/28/2022,China,A-10,3967,977,Air Force Commendation Medal
Sergeant,8601645,Ilario,Cumber,6/18/2022,Russia,F-18,4253,171,Distinguished Flying Cross
Lieutenant,3918958,Allianora,Ganiclef,5/29/2022,Poland,A-10,714,969,Air Medal
Colonel,2214747,Marcello,Cutress,10/5/2022,Philippines,F-16,3574,648,Air Force Achievement Medal
Private,6005941,Dill,Graben,10/2/2022,Tajikistan,F-35,9373,113,Air Force Commendation Medal
Sergeant,1589070,Roddy,Wedderburn,2/14/2023,Cuba,F-18,2943,758,Air Force Commendation Medal
